"usuario","sancion","fechaSancion","activa"
"sisdj.mendez2973","3","2016-09-01 19:08:16","0"
"sisda-moren","5","2015-02-19 13:52:04","0"
"siss.carvajal269","5","2015-02-18 18:09:19","0"
"sisjs.silva266","5","2015-02-20 16:10:56","0"
"siscm.rodriguez155","5","2015-02-16 19:46:51","0"
"sisf.ballesteros10","5","2015-02-16 19:45:29","0"
"sisn.alfaro10","5","2015-02-16 19:45:29","0"
"sisfa.campos10","5","2015-02-19 23:59:38","0"
"sisf.cueto10","8","2015-02-16 19:47:10","0"
"sisjs.vargas127","8","2015-02-16 19:44:37","0"
"sisn.pinzon1250","8","2015-02-16 19:46:01","0"
"sisda.paternina1691","8","2015-02-16 19:46:35","0"
"sisjs.silva266","12","2015-02-18 17:03:22","0"
"siss.carvajal269","1","2015-02-25 19:02:42","0"
"sisja.de83","8","2015-02-24 23:10:08","0"
"sishj.garcia652","8","2015-02-24 23:10:08","0"
"siss.carvajal269","8","2015-02-23 20:25:43","0"
"siss.carvajal269","5","2015-02-20 21:57:02","0"
"sisda-moren","5","2015-02-20 21:57:02","0"
"sisjs.silva266","5","2015-02-20 21:57:02","0"
"sisjs.silva266","5","2015-02-20 16:24:42","0"
"sisgd.joshsua10","10","2015-02-19 17:28:32","0"
"sisjc.sanchez12","8","2015-02-19 14:24:03","0"
"sisca.carrillo2369","8","2015-02-19 14:24:03","0"
"sisda-moren","3","2015-02-19 13:52:04","0"
"sisjs.silva266","3","2015-02-19 13:52:04","0"
"siss.carvajal269","3","2015-02-19 13:52:04","0"
"sisac.cabezas716","8","2015-02-26 18:13:18","0"
"sisf.ballesteros10","8","2015-02-26 18:13:18","0"
"sisma.castellanos959","8","2015-02-26 18:13:18","0"
"sisjm.rodriguez11","10","2015-02-26 18:16:15","0"
"sisfj.ricaurte10","8","2015-02-27 13:23:44","0"
"siss.correa12","8","2015-02-27 13:23:44","0"
"sisjc.berdugo10","3","2015-03-02 13:56:48","0"
"sisad.laiton10","8","2015-03-02 21:55:47","0"
"siss.carvajal269","5","2015-03-04 22:23:18","0"
"sisre.gonzalez10","3","2015-03-05 17:12:32","0"
"sisjd.ahumada10","3","2015-03-13 21:13:39","0"
"sisac.zuleta10","8","2015-03-17 13:10:06","0"
"sisf.ballesteros10","30","2015-03-18 17:24:23","0"
"sisjc.berdugo10","3","2015-03-17 14:06:25","0"
"sisnd.munoz10","5","2015-03-18 17:25:03","0"
"sisf.ballesteros10","20","2015-03-18 17:30:02","0"
"siss.mendieta10","10","2015-03-18 17:46:13","0"
"sisda.zucchet2217","8","2015-03-24 18:05:01","0"
"sisjs.vargas127","8","2015-03-24 18:06:16","0"
"sisma.castellanos959","8","2015-03-24 19:27:00","0"
"sisnd.munoz10","8","2015-03-25 13:27:17","0"
"sisma.coy10","8","2015-03-25 13:30:33","0"
"sissa.pardo10","8","2015-03-25 13:32:13","0"
"sisda.zucchet2217","10","2015-04-14 18:16:32","0"
"sisjs.arciniegas10","8","2015-04-14 18:19:59","0"
"siscl.arango741","8","2015-04-14 18:20:52","0"
"sisda.zucchet2217","8","2015-04-14 20:30:39","0"
"sisn.alfaro10","8","2015-04-15 14:05:15","0"
"sisn.pinzon1250","10","2015-04-16 21:30:53","0"
"sisds.junco1332","8","2015-04-16 21:31:19","0"
"sisja.de83","8","2015-04-16 21:31:19","0"
"sisda.zucchet2217","20","2015-04-20 15:25:55","0"
"sisnd.munoz10","20","2015-04-20 15:27:22","0"
"sisn.alfaro10","10","2015-04-27 18:48:55","0"
"sisjs.vargas127","10","2015-05-11 14:54:50","0"
"sishj.garcia652","10","2015-05-11 20:23:17","0"
"sisma.castellanos959","10","2015-05-11 20:23:42","0"
"sisjs.vargas127","29","2015-05-19 21:34:33","0"
"sisjs.vargas127","29","2015-05-20 22:22:56","0"
"sisjs.silva266","30","2015-05-21 21:19:50","0"
"sisf.ballesteros10","45","2015-05-21 21:22:20","0"
"sisma.castellanos959","29","2015-05-27 20:19:54","0"
"sisf.mate10","8","2015-05-27 20:20:08","0"
"sisjs.vargas127","29","2015-05-27 20:20:41","0"
"sisjs.vargas127","29","2015-05-27 20:21:14","0"
"sisja.de83","10","2015-05-28 16:39:55","0"
"sishj.garcia652","29","2015-05-28 16:40:18","0"
"sishj.garcia652","29","2015-05-28 16:44:52","0"
"sisds.junco1332","10","2015-05-28 20:33:40","0"
"sishj.garcia652","29","2015-05-28 20:50:46","0"
"sisea.cabello10","8","2015-05-29 18:35:25","0"
"sisdf.vargas10","8","2015-05-29 18:35:51","0"
"sisd.cagua10","8","2015-06-01 17:38:03","0"
"siso.sabogal10","8","2015-06-01 17:38:03","0"
"siscc.aparicio324","35","2015-06-01 17:58:59","0"
"siscc.aparicio324","35","2015-06-01 17:59:59","0"
"siscc.aparicio324","35","2015-06-01 18:00:53","0"
"siscc.aparicio324","35","2015-06-01 18:00:56","0"
"siscc.aparicio324","35","2015-06-01 18:12:09","0"
"siscc.aparicio324","35","2015-06-01 18:14:31","0"
"siscc.aparicio324","35","2015-06-01 18:14:32","0"
"siscc.aparicio324","35","2015-06-01 18:14:57","0"
"siscc.aparicio324","35","2015-06-01 18:15:35","0"
"siscc.aparicio324","35","2015-06-01 18:16:36","0"
"siscc.aparicio324","35","2015-06-01 18:17:24","0"
"siscc.aparicio324","35","2015-06-01 18:18:34","0"
"siscc.aparicio324","35","2015-06-01 18:19:59","0"
"siscc.aparicio324","29","2015-06-01 18:20:35","0"
"siscc.aparicio324","28","2015-06-01 18:21:25","0"
"siscc.aparicio324","10","2015-06-01 18:27:37","0"
"siscc.aparicio324","35","2015-06-01 18:44:48","0"
"siscc.aparicio324","200","2015-06-01 18:51:04","0"
"sisjs.silva266","500","2015-06-01 20:56:22","0"
