"equipo","DireccionIP","usuario"
"ISC203","157.253.202.13","siswaira1"
"ISC301","157.253.239.11","no user"
"ISC302","157.253.239.12","no user"
"ISC202","157.253.202.12","siswaira1"
"ISC201","157.253.202.11","siswaira1"
"ISC206","157.253.202.16","no user"
"ISC411","157.253.201.151","no user"
"ISC406","157.253.201.146","no user"
"ISC412","157.253.201.152","no user"
"ISC205","157.253.202.15","no user"
"ISC204","157.253.202.14","siswaira1"
"ISC409","157.253.201.149","no user"
"ISC410","157.253.201.150","no user"
"ISC207","157.253.202.17","no user"
"ISC208","157.253.202.18","siswaira1"
"ISC209","157.253.202.19","siswaira1"
"ISC210","157.253.202.20","siswaira1"
"ISC211","157.253.202.21","siswaira1"
"ISC212","157.253.202.22","siswaira1"
"ISC213","157.253.202.23","siswaira1"
"ISC214","157.253.202.24","siswaira1"
"ISC215","157.253.202.25","siswaira1"
"ISC216","157.253.202.26","siswaira1"
"ISC217","157.253.202.27","siswaira1"
"ISC218","157.253.202.28","siswaira1"
"ISC219","157.253.202.29","siswaira1"
"ISC220","157.253.202.30","siswaira1"
"ISC221","157.253.202.31","siswaira1"
"ISC222","157.253.202.32","siswaira1"
"ISC223","157.253.202.33","siswaira1"
"ISC224","157.253.202.34","siswaira1"
"ISC225","157.253.202.35","no user"
"ISC226","157.253.202.36","no user"
"ISC227","157.253.202.37","siswaira1"
"ISC228","157.253.202.38","siswaira1"
"ISC229","157.253.202.39","siswaira1"
"ISC230","157.253.202.40","no user"
"ISC303","157.253.239.13","no user"
"ISC304","157.253.239.14","no user"
"ISC305","157.253.239.15","sisj.duartey"
"ISC306","157.253.239.16","no user"
"ISC307","157.253.239.17","no user"
"ISC308","157.253.239.18","no user"
"ISC309","157.253.239.19","no user"
"ISC310","157.253.239.20","no user"
"ISC311","157.253.239.21","no user"
"ISC312","157.253.239.22","no user"
"ISC313","157.253.239.23","sisjm.ramirezt1"
"ISC314","157.253.239.24","no user"
"ISC315","157.253.239.25","no user"
"ISC316","157.253.239.26","no user"
"ISC317","157.253.239.27","no user"
"ISC318","157.253.239.28","sisn.rincon4"
"ISC319","157.253.239.29","no user"
"ISC320","157.253.239.30","no user"
"ISC321","157.253.239.31","no user"
"ISC322","157.253.239.32","no user"
"ISC323","157.253.239.33","no user"
"ISC324","157.253.239.34","no user"
"ISC325","157.253.239.35","no user"
"ISC326","157.253.239.36","sisj.roblesm"
"ISC327","157.253.239.37","sisa.lugos"
"ISC328","157.253.239.38","sisl.fuentesl"
"ISC329","157.253.239.39","no user"
"ISC330","157.253.239.40","no user"
"ISC245","157.253.202.55","siswaira1"
"ISC242","157.253.202.52","siswaira1"
"ISC408","157.253.201.148","no user"
"ISC407","157.253.201.147","no user"
"ISC401","157.253.201.141","no user"
"ISC402","157.253.201.142","no user"
"ISC403","157.253.201.143","no user"
"ISC404","157.253.201.144","no user"
"ISC405","157.253.201.145","no user"
"ISC413","157.253.201.153","no user"
"ISC414","157.253.201.154","no user"
"ISC415","157.253.201.155","no user"
"ISC416","157.253.201.156","no user"
"ISC417","157.253.201.157","no user"
"ISC418","157.253.201.158","no user"
"ISC419","157.253.201.159","sisturing"
"ISC420","157.253.201.160","sisturing"
"ISC421","157.253.201.161","no user"
"ISC422","157.253.201.162","no user"
"ISC423","157.253.201.163","no user"
"ISC424","157.253.201.164","no user"
"ISC425","157.253.201.165","no user"
"ISC426","157.253.201.166","no user"
"ISC427","157.253.201.167","sisturing"
"ISC428","157.253.201.168","no user"
"ISC429","157.253.201.169","no user"
"ISC430","157.253.201.170","no user"
"ISC431","157.253.201.171","no user"
"ISC432","157.253.201.172","no user"
"ISC433","157.253.201.173","no user"
"ISC434","157.253.201.174","no user"
"ISC435","157.253.201.175","no user"
"ISC436","157.253.201.176","no user"
"ISC437","157.253.201.177","no user"
"ISC438","157.253.201.178","isc438admonsis"
