"usuario","equipo","fecha"
"siss.sanchez59","ISC422","2015-03-02 15:47:58"
"sisd.torres11","ISC202","2015-03-02 15:47:36"
"no user","ISC318","2015-03-02 15:47:27"
"no user","ISC314","2015-03-02 15:47:19"
"sisf.cueto10","ISC208","2015-03-02 15:47:18"
"sisn.pinzon1250","ISC335","2015-03-02 15:47:17"
"no user","ISC202","2015-03-02 15:44:36"
"no user","ISC322","2015-03-02 15:44:12"
"sisad.leon2282","ISC206","2015-03-02 15:42:27"
"no user","ISC335","2015-03-02 15:42:17"
"no user","ISC206","2015-03-02 15:41:57"
"sisjg.tamura10","ISC304","2015-03-02 15:38:20"
"no user","ISC210","2015-03-02 15:37:32"
"sisad.leon2282","ISC206","2015-03-02 15:30:57"
"sisje.camargo10","ISC213","2015-03-02 15:30:35"
"siss.beltran10","ISC222","2015-03-02 15:23:20"
"siss.siza10","ISC221","2015-03-02 15:19:04"
"no user","ISC221","2015-03-02 15:18:34"
"sisaf.zuluaga3210","ISC216","2015-03-02 15:10:59"
"no user","ISC216","2015-03-02 15:10:29"
"sisjc.munoz418","ISC330","2015-03-02 15:09:10"
"sisaf.zuluaga3210","ISC216","2015-03-02 15:04:59"
"sissy.velasquez10","ISC310","2015-03-02 15:03:42"
"no user","ISC213","2015-03-02 15:03:04"
"sisjd.munoz2017","ISC319","2015-03-02 15:01:19"
"no user","ISC319","2015-03-02 15:00:49"
"sisjs.contreras2187","ISC321","2015-03-02 15:00:43"
"sissy.velasquez10","ISC213","2015-03-02 14:59:04"
"no user","ISC418","2015-03-02 14:58:54"
"no user","ISC207","2015-03-02 14:58:54"
"no user","ISC214","2015-03-02 14:58:20"
"siszl.castaneda10","ISC209","2015-03-02 14:58:10"
"sissy.velasquez10","ISC214","2015-03-02 14:57:20"
"no user","ISC211","2015-03-02 14:54:58"
"sisma.cifuentes51","ISC228","2015-03-02 14:53:32"
"sisf.mate10","ISC431","2015-03-02 14:51:04"
"sishj.calderon10","ISC202","2015-03-02 14:48:04"
"sisca.escobar2434","ISC318","2015-03-02 14:46:55"
"no user","ISC213","2015-03-02 14:45:03"
"sisjj.rodriguez644","ISC327","2015-03-02 14:44:44"
"sisca.barrientos1030","ISC218","2015-03-02 14:38:41"
"sisla.avila30","ISC217","2015-03-02 14:37:58"
"sisdf.sabogal10","ISC314","2015-03-02 14:34:16"
"sisf.velasquez11","ISC335","2015-03-02 14:33:44"
"sisre.gonzalez10","ISC212","2015-03-02 14:33:41"
"sisjs.vargas127","ISC325","2015-03-02 14:30:07"
"sisac.zuleta10","ISC333","2015-03-02 14:29:15"
"no user","ISC325","2015-03-02 14:29:11"
"siss.rojas19","ISC211","2015-03-02 14:28:57"
"no user","ISC318","2015-03-02 14:28:54"
"sisjs.vargas127","ISC325","2015-03-02 14:28:37"
"sism.toro11","ISC210","2015-03-02 14:27:59"
"sisol.pino521","ISC326","2015-03-02 14:27:31"
"no user","ISC335","2015-03-02 14:26:44"
"no user","ISC228","2015-03-02 14:26:01"
"sisn.sanabria10","ISC308","2015-03-02 14:24:26"
"sispj.ramirez10","ISC219","2015-03-02 14:22:13"
"no user","ISC216","2015-03-02 14:21:57"
"no user","ISC301","2015-03-02 14:20:48"
"siscm.villalobos10","ISC334","2015-03-02 14:20:36"
"sisfa.campos10","ISC329","2015-03-02 14:20:00"
"no user","ISC430","2015-03-02 14:19:39"
"no user","ISC214","2015-03-02 14:18:49"
"no user","ISC222","2015-03-02 14:17:48"
"sisjh.gomez1793","ISC418","2015-03-02 14:16:53"
"siss.caldas330","ISC318","2015-03-02 14:16:24"
"siss.robayo222","ISC328","2015-03-02 14:16:05"
"no user","ISC307","2015-03-02 14:11:44"
"no user","ISC308","2015-03-02 14:11:25"
"sisdf.cubillos10","ISC230","2015-03-02 14:10:45"
"no user","ISC204","2015-03-02 14:09:05"
"sisds.junco1332","ISC335","2015-03-02 14:07:44"
"siscr.daza1211","ISC437","2015-03-02 14:05:16"
"sisla.cortes10","ISC220","2015-03-02 14:04:39"
"sisde.ortiz10","ISC207","2015-03-02 14:04:23"
"sishd.jaimes69","ISC322","2015-03-02 14:02:32"
"sisjp.gonzalez14","ISC301","2015-03-02 14:00:18"
"no user","ISC313","2015-03-02 13:58:00"
"sisn.rojas13","ISC216","2015-03-02 13:52:26"
"no user","ISC215","2015-03-02 13:51:49"
"no user","ISC431","2015-03-02 13:51:02"
"no user","ISC207","2015-03-02 13:50:52"
"sisnd.munoz10","ISC332","2015-03-02 13:50:28"
"sisn.rojas13","ISC215","2015-03-02 13:49:19"
"no user","ISC219","2015-03-02 13:48:42"
"sisjc.berdugo10","ISC313","2015-03-02 13:42:29"
"sisjs.salamanca1967","ISC224","2015-03-02 13:42:04"
"no user","ISC313","2015-03-02 13:41:59"
"no user","ISC304","2015-03-02 13:41:16"
"sisn.rozo10","ISC430","2015-03-02 13:38:08"
"sishj.calderon10","ISC213","2015-03-02 13:38:01"
"no user","ISC215","2015-03-02 13:37:19"
"sishj.calderon10","ISC215","2015-03-02 13:35:19"
"sisn.rojas13","ISC219","2015-03-02 13:25:41"
"no user","ISC213","2015-03-02 13:25:01"
"sisjs.ramos12","ISC228","2015-03-02 13:21:59"
"sisca.carrillo2369","ISC331","2015-03-02 13:19:45"
"sisjd.munoz2017","ISC319","2015-03-02 13:18:45"
"sisjc.berdugo10","ISC313","2015-03-02 13:15:58"
"no user","ISC313","2015-03-02 13:15:28"
