"hora","sala","ocupacion"
"2016-01-28 05:05:00","waira 2","0"
"2016-01-28 05:05:00","waira 1","1"
"2016-01-28 05:00:00","turing","2"
"2016-01-28 05:00:00","waira 2","0"
"2016-01-28 05:00:00","waira 1","1"
"2016-01-28 04:55:00","turing","2"
"2016-01-28 04:55:00","waira 2","0"
"2016-01-28 04:55:00","waira 1","1"
"2016-01-28 04:50:00","turing","2"
"2016-01-28 04:50:00","waira 2","0"
"2016-01-28 04:50:00","waira 1","1"
"2016-01-28 04:45:00","turing","2"
"2016-01-28 04:45:00","waira 2","0"
"2016-01-28 04:45:00","waira 1","1"
"2016-01-28 04:40:00","turing","2"
"2016-01-28 04:40:00","waira 2","0"
"2016-01-28 04:40:00","waira 1","1"
"2016-01-28 04:35:00","turing","2"
"2016-01-28 04:35:00","waira 2","0"
"2016-01-28 04:35:00","waira 1","1"
"2016-01-28 04:30:00","turing","2"
"2016-01-28 04:30:00","waira 2","0"
"2016-01-28 04:30:00","waira 1","1"
"2016-01-28 04:25:00","turing","2"
"2016-01-28 04:25:00","waira 2","0"
"2016-01-28 04:25:00","waira 1","1"
"2016-01-28 04:20:00","turing","2"
"2016-01-28 03:45:01","turing","2"
"2016-01-28 03:45:01","waira 2","0"
"2016-01-28 03:45:01","waira 1","1"
"2016-01-28 04:20:00","waira 2","0"
"2016-01-28 04:20:00","waira 1","1"
"2016-01-28 04:15:00","turing","2"
"2016-01-28 04:15:00","waira 2","0"
"2016-01-28 04:15:00","waira 1","1"
"2016-01-28 04:10:00","turing","2"
"2016-01-28 04:10:00","waira 2","0"
"2016-01-28 04:10:00","waira 1","1"
"2016-01-28 04:05:00","turing","2"
"2016-01-28 04:05:00","waira 2","0"
"2016-01-28 04:05:00","waira 1","1"
"2016-01-28 04:00:00","turing","2"
"2016-01-28 04:00:00","waira 2","0"
"2016-01-28 04:00:00","waira 1","1"
"2016-01-28 03:55:00","turing","2"
"2016-01-28 03:55:00","waira 2","0"
"2016-01-28 03:55:00","waira 1","1"
"2016-01-28 03:50:00","turing","2"
"2016-01-28 03:50:00","waira 2","0"
"2016-01-28 03:50:00","waira 1","1"
"2016-01-28 05:05:00","turing","2"
"2016-01-28 05:10:00","waira 1","1"
"2016-01-28 05:10:00","waira 2","0"
"2016-01-28 05:10:00","turing","2"
"2016-01-28 05:15:00","waira 1","1"
"2016-01-28 05:15:00","waira 2","0"
"2016-01-28 05:15:00","turing","2"
"2016-01-28 05:20:00","waira 1","1"
"2016-01-28 05:20:00","waira 2","0"
"2016-01-28 05:20:00","turing","2"
"2016-01-28 05:25:00","waira 1","1"
"2016-01-28 05:25:00","waira 2","0"
"2016-01-28 05:25:00","turing","2"
"2016-01-28 05:30:00","waira 1","1"
"2016-01-28 05:30:00","waira 2","0"
"2016-01-28 05:30:00","turing","2"
"2016-01-28 05:35:00","waira 1","1"
"2016-01-28 05:35:00","waira 2","0"
"2016-01-28 05:35:00","turing","2"
"2016-01-28 05:40:00","waira 1","1"
"2016-01-28 05:40:00","waira 2","0"
"2016-01-28 05:40:00","turing","2"
"2016-01-28 05:45:00","waira 1","1"
"2016-01-28 05:45:00","waira 2","0"
"2016-01-28 05:45:00","turing","2"
"2016-01-28 05:50:00","waira 1","1"
"2016-01-28 05:50:00","waira 2","0"
"2016-01-28 05:50:00","turing","2"
"2016-01-28 05:55:00","waira 1","1"
"2016-01-28 05:55:00","waira 2","0"
"2016-01-28 05:55:00","turing","2"
"2016-01-28 06:00:00","waira 1","1"
"2016-01-28 06:00:00","waira 2","0"
"2016-01-28 06:00:00","turing","2"
"2016-01-28 06:05:00","waira 1","1"
"2016-01-28 06:05:00","waira 2","0"
"2016-01-28 06:05:00","turing","2"
"2016-01-28 06:10:00","waira 1","1"
"2016-01-28 06:10:00","waira 2","0"
"2016-01-28 06:10:00","turing","2"
"2016-01-28 06:15:00","waira 1","1"
"2016-01-28 06:15:00","waira 2","0"
"2016-01-28 06:15:00","turing","2"
"2016-01-28 06:20:00","waira 1","1"
"2016-01-28 06:20:00","waira 2","0"
"2016-01-28 06:20:00","turing","2"
"2016-01-28 06:25:00","waira 1","1"
"2016-01-28 06:25:00","waira 2","0"
"2016-01-28 06:25:00","turing","2"
"2016-01-28 06:30:00","waira 1","1"
